-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
57.972998 -93.321852,1.830820 80.822059,-61.936489 -105.804175,81.218079 87.040958,-38.236156 113.762947,-22.134094 -70.521870,41.930349 137.714522,-77.631124 157.517182,18.010165 -37.897579,1.830820 170.822059,-61.936489 -15.804175,57.972998 -3.321852,-38.236156 -156.237053,-22.134094 19.478130,81.218079 177.040958,-77.631124 -112.482818,18.010165 52.102421,41.930349 -132.285478
59.771950 -93.023475,0.008731 80.810628,-60.146673 -105.448368,79.542944 90.991719,-40.044397 113.825853,-20.316960 -70.516442,40.118268 137.788613,-79.340305 160.229894,19.830637 -37.895721,0.008731 170.810628,-60.146673 -15.448368,59.771950 -3.023475,-40.044397 -156.174147,-20.316960 19.483558,79.542944 -179.008281,-79.340305 -109.770106,19.830637 52.104279,40.118268 -132.211387
61.568829 -92.676975,-1.813236 80.799188,-58.354628 -105.142133,77.830072 93.817502,-41.851524 113.898938,-18.499148 -70.514013,38.305249 137.852400,-81.014132 163.997634,21.650671 -37.890936,-1.813236 170.799188,-58.354628 -15.142133,61.568829 -2.676975,-41.851524 -156.101062,-18.499148 19.485987,77.830072 -176.182498,-81.014132 -106.002366,21.650671 52.109064,38.305249 -132.147600
63.363348 -92.272609,-3.635027 80.787968,-56.560582 -104.877485,76.093281 95.920611,-43.657493 113.983477,-16.680705 -70.514235,36.491339 137.907011,-82.628715 169.489234,23.470220 -37.882850,-3.635027 170.787968,-56.560582 -14.877485,63.363348 -2.272609,-43.657493 -156.016523,-16.680705 19.485765,76.093281 -174.079389,-82.628715 -100.510766,23.470220 52.117150,36.491339 -132.092989
65.155133 -91.797867,-5.456591 80.777197,-54.764714 -104.648048,74.340403 97.535794,-45.462258 114.080944,-14.861675 -70.516784,34.676581 137.953430,-84.135153 177.967496,25.289236 -37.871059,-5.456591 170.777197,-54.764714 -14.648048,65.155133 -1.797867,-45.462258 -155.919056,-14.861675 19.483216,74.340403 -172.464206,-84.135153 -92.032504,25.289236 52.128941,34.676581 -132.046570
66.943690 -91.236414,-7.277875 80.767109,-52.967165 -104.448662,72.576168 98.807623,-47.265768 114.193052,-13.042106 -70.521357,32.861021 137.992525,-85.425559 -168.233602,27.107676 -37.855122,-7.277875 170.767109,-52.967165 -14.448662,66.943690 -1.236414,-47.265768 -155.806948,-13.042106 19.478643,72.576168 -171.192377,-85.425559 -78.233602,27.107676 52.144878,32.861021 -132.007475
68.728353 -90.566522,-9.098828 80.757942,-51.168052 -104.275111,70.803582 99.829400,-49.067966 114.321809,-11.222047 -70.527668,31.044700 138.025061,-86.268828 -146.158939,28.925494 -37.834550,-9.098828 170.757942,-51.168052 -14.275111,68.728353 -0.566522,-49.067966 -155.678191,-11.222047 19.472332,70.803582 -170.170600,-86.268828 -56.158939,28.925494 52.165450,31.044700 -131.974939
70.508210 -89.758672,-10.919397 80.749944,-49.367470 -104.123914,69.024637 100.663786,-50.868785 114.469586,-9.401546 -70.535447,29.227663 138.051721,-86.341571 -118.103276,30.742646 -37.808806,-10.919397 170.749944,-49.367470 -14.123914,70.508210 0.241328,-50.868785 -155.530414,-9.401546 19.464553,69.024637 -169.336214,-86.341571 -28.103276,30.742646 52.191194,29.227663 -131.948279
72.281971 -88.771770,-12.739533 80.743371,-47.565497 -103.992169,67.240701 101.354313,-52.668148 114.639196,-7.580654 -70.544437,27.409953 138.073114,-85.605363 -94.583235,32.559088 -37.777292,-12.739533 170.743371,-47.565497 -13.992169,72.281971 1.228230,-52.668148 -155.360804,-7.580654 19.455563,67.240701 -168.645687,-85.605363 -4.583235,32.559088 52.222708,27.409953 -131.926886
74.047769 -87.546965,-14.559187 80.738489,-45.762201 -103.877441,65.452740 101.932115,-54.465964 114.834016,-5.759421 -70.554389,25.591614 138.089787,-84.368973 -79.589481,34.374778 -37.739338,-14.559187 170.738489,-45.762201 -13.877441,74.047769 2.453035,-54.465964 -155.165984,-5.759421 19.445611,65.452740 -168.067885,-84.368973 10.410519,34.374778 52.260662,25.591614 -131.910213
75.802804 -85.997158,-16.378310 80.735584,-43.957641 -103.777666,63.661454 102.420019,-56.262121 115.058128,-3.937900 -70.565062,23.772690 138.102235,-82.888580 -70.423864,36.189672 -37.694194,-16.378310 170.735584,-43.957641 -13.777666,75.802804 4.002842,-56.262121 -154.941872,-3.937900 19.434938,63.661454 -167.579981,-82.888580 19.576136,36.189672 52.305806,23.772690 -131.897765
